covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Model,Analysis_Type,Formula
C(adv_id)[T.p7],0.0678957333145358,1.0702537108538817,0.2415936568595891,-0.40561913302358704,0.5414105996526586,0.6665639912972037,1.7184291689194784,0.0,0.2810327646722772,0.778685269528548,0.36088775997583417,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p8],0.1501781136676084,1.1620411997167954,0.23817539763701615,-0.31663708770444954,0.6169933150396664,0.7285951232802897,1.85334722494399,0.0,0.6305357948703111,0.528344091064083,0.9204502850249942,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
cumulative_drift,-1.4980092160970182,0.2235748065301,2.991820368819023,-7.361869387195645,4.3658509550016085,0.0006350102692242565,78.7163555260852,0.0,-0.5007015901453787,0.6165811530031198,0.6976373035358441,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.Humanities],0.05099705218076186,1.0523197912301065,0.14412564455229773,-0.23148402039036312,0.3334781247518868,0.7933553729109963,1.3958145124187715,0.0,0.35383746132879884,0.7234606972444788,0.4670134519114964,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.Legal],0.11116180000087153,1.117575715978425,0.15267845702568375,-0.18808247698461503,0.4104060769863581,0.8285463684084493,1.5074297933908516,0.0,0.728077832108113,0.46656594297582055,1.0998470933798972,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.Medical],-0.14325234447190982,0.8665353758918436,0.1513307524776362,-0.4398551690814223,0.15335048013760266,0.6441297042245828,1.1657334737821918,0.0,-0.9466175389108687,0.34383370340316677,1.5402171267164595,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.STEM],-0.006240380173792546,0.9937790505591672,0.1454484070161843,-0.2913140195342367,0.27883325918665164,0.7472809803448007,1.3215869630116848,0.0,-0.04290442433720273,0.9657777218889376,0.05023691041080565,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
prompt_to_prompt_drift,-1.4728655477917696,0.22926756582027055,5.02905917279207,-11.329640402585023,8.383909307001483,1.2011567638942522e-05,4376.08298243573,0.0,-0.292870991807013,0.7696207623116729,0.3777803751972232,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
context_to_prompt_drift,1.1775164068789479,3.2463016900741226,1.5132888235447095,-1.7884751854756715,4.1435079992335675,0.1672149471535749,63.02352057857168,0.0,0.7781174277893281,0.4364997894268723,1.1959471370071726,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p1]:cumulative_drift,1.646983764913505,5.19129801383725,4.04767791705679,-6.286319173535906,9.580286703362917,0.0018615995763748836,14476.569188391108,0.0,0.4068959533497382,0.6840844082126267,0.5477537466817216,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p2]:cumulative_drift,-0.14350617286878645,0.8663154525191235,4.187684916960061,-8.351217788712113,8.06420544297454,0.00023610881263490537,3178.629611059517,0.0,-0.03426861755706324,0.9726629497260213,0.039988130579213514,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p3]:cumulative_drift,1.012795915167813,2.7532882239238896,4.431867588275249,-7.673504942102064,9.69909677243769,0.0004649852180127657,16302.875339555092,0.0,0.22852576143006179,0.8192375311914715,0.28764628479418014,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p4]:cumulative_drift,0.5246336409688354,1.68983964694512,4.102367354125607,-7.515858624470228,8.565125906407898,0.0005443823958676271,5245.500321215328,0.0,0.1278855830502916,0.8982395204166685,0.15482789620024776,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p5]:cumulative_drift,-3.7111810454672893,0.024448631268485285,5.1016588751578835,-13.710248702185865,6.2878866112512855,1.111001494430344e-06,538.0150916978198,0.0,-0.7274459418560081,0.46695281953932255,1.098651306098556,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p6]:cumulative_drift,-0.9962923409696356,0.36924594440219594,4.320558885296178,-9.464432149234666,7.471847467295396,7.756206144462073e-05,1757.8512602429744,0.0,-0.23059339484070912,0.8176306994913941,0.2904787288802898,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p7]:cumulative_drift,-2.149211293310497,0.11657606584744606,4.236434996938293,-10.452471310154605,6.154048723533611,2.8876821462640053e-05,470.61894073246185,0.0,-0.5073160085930152,0.6119331078590553,0.708554138430936,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p8]:cumulative_drift,-2.417427390361963,0.0891506725778649,4.547381711200855,-11.33013176827176,6.495276987547834,1.2005667016561214e-05,662.0075677696226,0.0,-0.5316086363296689,0.5949970820038342,0.749045501742278,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p1],0.06998046079200987,1.072487225498522,0.35888310343161767,-0.6334174965939239,0.7733784181779435,0.5307747769462348,2.1670751867209224,0.0,0.19499513942802296,0.8453967527611524,0.24229952401898694,CARG,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p2],-0.021706977385402306,0.9785269235636469,0.364374012501921,-0.7358669187915148,0.6924529640207102,0.4790899468155475,1.99861204874663,0.0,-0.05957334123900471,0.952495451256327,0.07021589200907635,CARG,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p3],0.20716468719247613,1.230185150837924,0.354305804952067,-0.4872619300270482,0.9015913044120005,0.6143061066547051,2.4635202042566813,0.0,0.5847058792065314,0.5587455002069022,0.8397367871244321,CARG,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p4],0.13807184550324467,1.1480580301181682,0.3577594573224617,-0.5631238059773748,0.8392674969838642,0.5694275016369077,2.3146708522681223,0.0,0.3859348584006696,0.6995449135337328,0.5155114078300792,CARG,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p5],-0.36212546529561684,0.6961950140487062,0.3757405781856788,-1.0985634660698036,0.3743125354785699,0.33334960793004953,1.453991503382796,0.0,-0.9637645926990249,0.33516396206731147,1.5770610608317068,CARG,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p6],0.15864308623651394,1.1719195977937693,0.3556227063202919,-0.5383646102359229,0.8556507827089507,0.583702052605946,2.3529051123969267,0.0,0.44609942902136257,0.6555254252424403,0.6092763569120033,CARG,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
