Model,Term,Coefficient,Hazard_Ratio,P_Value,CI_Lower,CI_Upper,HR_CI_Lower,HR_CI_Upper,Significance
deepseek_r1,C(adv_id)[T.p3]:prompt_to_prompt_drift,5.680095337194263,292.9773602306378,0.4986751513899499,-10.774502424211356,22.134693098599882,2.0926329143333065e-05,4101805578.0251074,ns
deepseek_r1,C(adv_id)[T.p4]:prompt_to_prompt_drift,2.9985670481438933,20.056775927255305,0.7377889781394327,-14.556350337481046,20.553484433768833,4.767134132179652e-07,843849259.20303,ns
deepseek_r1,C(adv_id)[T.p5]:prompt_to_prompt_drift,-6.073791999614809,0.0023024258381759326,0.5717838589951403,-27.127666135129875,14.980082135900258,1.6542619882089738e-12,3204549.689278406,ns
deepseek_r1,C(adv_id)[T.p6]:prompt_to_prompt_drift,-5.067117348636771,0.006300556295330869,0.5873841901048064,-23.369380712007928,13.235146014734386,7.092623575304852e-11,559694.2966048667,ns
deepseek_r1,C(adv_id)[T.p7]:prompt_to_prompt_drift,-0.451055806477661,0.6369552949546702,0.9602333154535525,-18.18148000345095,17.279368390495627,1.2702334983017733e-08,31939958.150466334,ns
deepseek_r1,C(adv_id)[T.p8]:prompt_to_prompt_drift,-2.7292019954849462,0.06527135572746348,0.7724780389522147,-21.229683947894827,15.771279956924936,6.026503441128674e-10,7069356.087023457,ns
deepseek_r1,C(base_id)[T.Humanities]:context_to_prompt_drift,2.706200028466921,14.972273068185347,0.19275350606789665,-1.3660838950951746,6.778483952029017,0.25510402008604477,878.7355085690051,ns
deepseek_r1,C(base_id)[T.Legal]:context_to_prompt_drift,-2.462895463930527,0.08518793493397232,0.3265237069618911,-7.382872636420258,2.4570817085592034,0.0006218120779103599,11.670703281773283,ns
deepseek_r1,C(base_id)[T.Medical]:context_to_prompt_drift,0.30253363584695653,1.3532831944820671,0.8886741080766983,-3.9334000683060704,4.5384673399999835,0.019576996141014665,93.5473139635951,ns
deepseek_r1,C(base_id)[T.STEM]:context_to_prompt_drift,1.4211473602327596,4.1418699318905565,0.4888665202328163,-2.6033379712002187,5.445632691665738,0.07402606846933135,231.74385574463344,ns
