covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Model,Analysis_Type,Formula
C(adv_id)[T.p5]:prompt_to_prompt_drift,8.79984365402226,6633.206849991874,8.574424101841652,-8.00571877375958,25.605406081804098,0.0003335496681343154,131912687429.39122,0.0,1.0262897600472305,0.30475502255405773,1.7142780973261345,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p6]:prompt_to_prompt_drift,-0.31882767057885925,0.7270008221427793,9.202078983726054,-18.354571061574866,17.71691572041715,1.0683438892377783e-08,49471916.36705693,0.0,-0.03464735209757582,0.9723609426330109,0.04043614989724101,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p7]:prompt_to_prompt_drift,-14.597419890316266,4.5753159691697485e-07,10.643925235216372,-35.45913000547738,6.2642902248448475,3.9837814545311837e-16,525.4684890891737,0.0,-1.3714320203997117,0.17024032138957204,2.5543553153295124,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p8]:prompt_to_prompt_drift,-12.194550276348439,5.057945036874289e-06,10.588322812045059,-32.94728164464062,8.558181091943743,4.911084289262169e-15,5209.197498804233,0.0,-1.1516980066452231,0.24944519168514093,2.003205234716651,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(base_id)[T.Humanities]:context_to_prompt_drift,-0.1779339182015361,0.836997731976745,2.1919737229431315,-4.474123470228253,4.11825563382518,0.011400210370170165,61.45195400668367,0.0,-0.08117520586087446,0.9353026172871773,0.09649487018291765,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(base_id)[T.Legal]:context_to_prompt_drift,2.911462069031261,18.38365710344852,2.142160672270806,-1.2870956977176293,7.110019835780151,0.2760714147287227,1224.1718282541613,0.0,1.3591240408428158,0.1741072859452641,2.5219515175321217,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(base_id)[T.Medical]:context_to_prompt_drift,0.8946903306022639,2.4465780417940177,2.158554051301248,-3.3359978686312055,5.125378529835733,0.035579065258547926,168.2378126319821,0.0,0.41448595186343146,0.678518253169087,0.5595404680386491,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(base_id)[T.STEM]:context_to_prompt_drift,0.3387900741055186,1.4032487360446673,2.0088626448755322,-3.598508359738401,4.276088507949439,0.02736451002442514,71.95842401173496,0.0,0.16864770469486717,0.8660737550335539,0.20743820447319128,llama_33,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p1],-0.09789649383845808,0.9067427523586853,0.3363721831348268,-0.75717385818383,0.5613808705069138,0.468989988059967,1.753091622181658,0.0,-0.291036235297788,0.7710236066460604,0.3751530626720479,gemini_25,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
C(adv_id)[T.p2],-0.38906037977737895,0.6776933498050146,0.3542902515430233,-1.0834565128753408,0.30533575332058305,0.33842373565838846,1.3570805708306946,0.0,-1.0981402341242046,0.27214325892088603,1.8775617944181702,gemini_25,Interaction_TimeVarying,C(adv_id) * prompt_to_prompt_drift + C(base_id) * context_to_prompt_drift + cumulative_drift
