Model,Term,Coefficient,Hazard_Ratio,P_Value,CI_Lower,CI_Upper,HR_CI_Lower,HR_CI_Upper,Significance
deepseek_r1,C(adv_id)[T.p2]:cumulative_drift,-0.14350617286878645,0.8663154525191235,0.9726629497260213,-8.351217788712113,8.06420544297454,0.00023610881263490537,3178.629611059517,ns
deepseek_r1,C(adv_id)[T.p3]:cumulative_drift,1.012795915167813,2.7532882239238896,0.8192375311914715,-7.673504942102064,9.69909677243769,0.0004649852180127657,16302.875339555092,ns
deepseek_r1,C(adv_id)[T.p4]:cumulative_drift,0.5246336409688354,1.68983964694512,0.8982395204166685,-7.515858624470228,8.565125906407898,0.0005443823958676271,5245.500321215328,ns
deepseek_r1,C(adv_id)[T.p5]:cumulative_drift,-3.7111810454672893,0.024448631268485285,0.46695281953932255,-13.710248702185865,6.2878866112512855,1.111001494430344e-06,538.0150916978198,ns
deepseek_r1,C(adv_id)[T.p6]:cumulative_drift,-0.9962923409696356,0.36924594440219594,0.8176306994913941,-9.464432149234666,7.471847467295396,7.756206144462073e-05,1757.8512602429744,ns
deepseek_r1,C(adv_id)[T.p7]:cumulative_drift,-2.149211293310497,0.11657606584744606,0.6119331078590553,-10.452471310154605,6.154048723533611,2.8876821462640053e-05,470.61894073246185,ns
deepseek_r1,C(adv_id)[T.p8]:cumulative_drift,-2.417427390361963,0.0891506725778649,0.5949970820038342,-11.33013176827176,6.495276987547834,1.2005667016561214e-05,662.0075677696226,ns
CARG,C(adv_id)[T.p1]:cumulative_drift,-1.6574955815426855,0.1906157644573084,0.6156978261012037,-8.129428781769056,4.8144376186836855,0.0002947365115988769,123.27746386946967,ns
CARG,C(adv_id)[T.p2]:cumulative_drift,1.5023458857254286,4.492214942173076,0.6089719024395963,-4.253870464547141,7.258562235997999,0.014209131402300212,1420.2131372658193,ns
CARG,C(adv_id)[T.p3]:cumulative_drift,-2.4278494403704145,0.08822636476752635,0.4558443751351,-8.809037878730647,3.953338997989819,0.0001493769055214892,52.10906875409087,ns
CARG,C(adv_id)[T.p4]:cumulative_drift,-3.109915492396932,0.044604724619369,0.35106023935217967,-9.64621067574119,3.426379690947325,6.467015952586237e-05,30.765061860935806,ns
CARG,C(adv_id)[T.p5]:cumulative_drift,3.6648593062466817,39.05064159524721,0.19820089286695677,-1.9176576640515273,9.247376276544891,0.14695076738455584,10377.30279427394,ns
CARG,C(adv_id)[T.p6]:cumulative_drift,-0.9108471226159409,0.4021833810482766,0.7721144655427434,-7.0750898798415385,5.253395634609657,0.0008459165195840228,191.2144617662321,ns
CARG,C(adv_id)[T.p7]:cumulative_drift,0.20051665620459988,1.222033966518305,0.9496863381062283,-6.0277120383342035,6.4287453507434025,0.002411003957536546,619.3963351475858,ns
CARG,C(adv_id)[T.p8]:cumulative_drift,3.1990967106011308,24.51038022807704,0.242181799774493,-2.162033828862251,8.560227250064512,0.11509080783559866,5219.867252848404,ns
mistral_large,C(adv_id)[T.p1]:cumulative_drift,2.3173793167817944,10.14904199984699,0.6368962331896307,-7.3045869929826885,11.939345626546277,0.0006724471795569677,153176.4228418956,ns
mistral_large,C(adv_id)[T.p2]:cumulative_drift,3.8468365967005496,46.844640105179096,0.4287135080285307,-5.680214847194367,13.373888040595467,0.0034128251287191763,642992.3080785897,ns
mistral_large,C(adv_id)[T.p3]:cumulative_drift,-4.701424357447541,0.00908233139786208,0.3998872359140493,-15.647462099529246,6.244613384634164,1.6010081930015713e-07,515.2299905845042,ns
mistral_large,C(adv_id)[T.p4]:cumulative_drift,-2.940675432853967,0.05283003354452193,0.5651380577728761,-12.960410225098936,7.079059359391003,2.351610312539653e-06,1186.8515924737212,ns
mistral_large,C(adv_id)[T.p5]:cumulative_drift,-2.9344186768138663,0.05316161440457596,0.5729501843202712,-13.137067275104346,7.268229921476614,1.970807353408002e-06,1434.0098950887866,ns
mistral_large,C(adv_id)[T.p6]:cumulative_drift,1.9116137689338355,6.763995521540184,0.6757612197334253,-7.046320187324265,10.869547725191936,0.0008706067397949773,52551.43720365627,ns
mistral_large,C(adv_id)[T.p7]:cumulative_drift,0.17690505345620677,1.1935177673603123,0.9685393731318354,-8.61430056660523,8.968110673517643,0.0001814917124734416,7848.758720667177,ns
mistral_large,C(adv_id)[T.p8]:cumulative_drift,0.6746054852197431,1.9632582887547412,0.8969081859093557,-9.530090028142805,10.879300998582291,7.263308467637533e-05,53066.49339674641,ns
gpt_default,C(adv_id)[T.p1]:cumulative_drift,2.4243196287692146,11.29454232287512,0.611391627388578,-6.927562562617158,11.776201820155588,0.000980387591835293,130118.62588388284,ns
gpt_default,C(adv_id)[T.p2]:cumulative_drift,3.567258075180279,35.41934271098119,0.47294965752661167,-6.174714666394776,13.309230816755333,0.002081399726016469,602733.7384534708,ns
gpt_default,C(adv_id)[T.p3]:cumulative_drift,-7.501205441995514,0.0005524180607003741,0.19643839426306642,-18.882600457256878,3.8801895732658496,6.300729243842719e-09,48.43339587813272,ns
gpt_default,C(adv_id)[T.p4]:cumulative_drift,-2.378516806882843,0.09268794973948456,0.6765882384741353,-13.55460673769888,8.797573123933194,1.2981028082458324e-06,6618.163039427196,ns
gpt_default,C(adv_id)[T.p5]:cumulative_drift,5.93098041276322,376.5234813517176,0.19172993716579984,-2.97342307852185,14.835383904048289,0.05112799530196623,2772843.5502294214,ns
gpt_default,C(adv_id)[T.p6]:cumulative_drift,-0.7562404181409553,0.46942796647602403,0.8922122119918033,-11.694570801927794,10.182089965645885,8.338970404371392e-06,26425.63830113827,ns
gpt_default,C(adv_id)[T.p7]:cumulative_drift,1.6055823435990069,4.98075927163596,0.7457797906944599,-8.100759355779934,11.311924042977948,0.00030330873137133433,81791.1268489522,ns
gpt_default,C(adv_id)[T.p8]:cumulative_drift,1.8886684195647803,6.610560325032671,0.7131659433748228,-8.18109994565288,11.95843678478244,0.0002798939026660301,156128.83094148134,ns
llama_4_scout,C(adv_id)[T.p1]:cumulative_drift,0.6049879110016134,1.8312300710145872,0.8726660034148516,-6.793353026578586,8.003328848581813,0.0011212030408050992,2990.8976794962323,ns
llama_4_scout,C(adv_id)[T.p2]:cumulative_drift,-0.7990974367036875,0.4497346950195712,0.8314002736627569,-8.155405451094293,6.557210577686917,0.00028717882543727926,704.3043497248414,ns
llama_4_scout,C(adv_id)[T.p3]:cumulative_drift,-0.2410153735729922,0.7858295452876071,0.948824782448938,-7.600969532062554,7.11893878491657,0.0004999664648644198,1235.1389896008081,ns
llama_4_scout,C(adv_id)[T.p4]:cumulative_drift,2.0826848321780083,8.025988445243248,0.5478387052813469,-4.709285549096251,8.874655213452266,0.009011213352665567,7148.481342318166,ns
llama_4_scout,C(adv_id)[T.p5]:cumulative_drift,-4.03390140588176,0.017705120173741744,0.31232315882962863,-11.859138555803549,3.791335744040028,7.0736173874315734e-06,44.31555499787333,ns
llama_4_scout,C(adv_id)[T.p6]:cumulative_drift,-5.992839840969107,0.002496564128555201,0.1591896523359767,-14.336164175959471,2.3504844940212584,5.94132085608351e-07,10.490651151429724,ns
llama_4_scout,C(adv_id)[T.p7]:cumulative_drift,-0.12193626222478791,0.8852047876883656,0.97220781687155,-6.981721488822787,6.737848964373212,0.0009287030743359787,843.7438593671809,ns
llama_4_scout,C(adv_id)[T.p8]:cumulative_drift,-1.8943592727765297,0.15041467895763863,0.6358513223892218,-9.735582120491465,5.946863574938406,5.914123740203202e-05,382.5516110211138,ns
claude_35,C(adv_id)[T.p1]:cumulative_drift,2.5570015776509307,12.897088363694232,0.24213131011224584,-1.727629600145622,6.841632755447483,0.17770514336564272,936.0161732555465,ns
claude_35,C(adv_id)[T.p2]:cumulative_drift,0.03822676131787263,1.0389668036499407,0.9884911495540571,-5.155853428287724,5.232306950923469,0.0057655574850047206,187.2242227909537,ns
claude_35,C(adv_id)[T.p3]:cumulative_drift,0.40626438662538344,1.5011993970381192,0.8565399195861871,-3.9983248592469547,4.810853632497722,0.018346345873935355,122.83642994375795,ns
claude_35,C(adv_id)[T.p4]:cumulative_drift,0.14139339974274254,1.151877707255906,0.9497892326703918,-4.259425341911708,4.542212141397194,0.0141304202377335,93.89828682730978,ns
claude_35,C(adv_id)[T.p5]:cumulative_drift,-4.287201247303329,0.013743335719562514,0.11883796127770974,-9.67472666965089,1.1003241750442303,6.285207114759289e-05,3.0051400574702716,ns
claude_35,C(adv_id)[T.p6]:cumulative_drift,2.3549306947232918,10.537398539066627,0.3167913881054204,-2.2557002140951505,6.965561603541734,0.10480013550649231,1059.5097748155567,ns
claude_35,C(adv_id)[T.p7]:cumulative_drift,3.579896429288821,35.86982559132389,0.10200136543092667,-0.710924311035507,7.870717169613149,0.4911899752573454,2619.443499997923,ns
